Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
380,Kobe Brown,25,LAC,PF,7,0,6.7,1.3,2.9,.450,0.1,0.9,.167,1.1,2.0,.571,.475,0.1,0.3,.500,0.7,1.6,2.3,0.6,0.1,0.0,0.0,0.7,2.9,,brownko01
381,Vit Krejci,24,ATL,PG,9,0,10.9,1.0,2.4,.409,0.4,1.2,.364,0.6,1.2,.455,.500,0.4,0.8,.571,0.3,0.8,1.1,1.1,0.4,0.2,0.6,1.7,2.9,,krejcvi01
382,Taj Gibson,39,CHO,C,11,7,11.4,1.3,2.6,.483,0.1,0.2,.500,1.2,2.5,.481,.500,0.2,0.3,.667,1.7,1.9,3.6,0.4,0.4,0.3,0.8,1.5,2.8,,gibsota01
383,Craig Porter Jr.,24,CLE,PG,16,0,9.4,1.1,1.9,.581,0.3,0.7,.455,0.8,1.3,.650,.661,0.2,0.3,.600,0.1,0.8,0.9,1.4,0.3,0.4,0.6,0.4,2.8,,portecr01
384,Ryan Rollins,22,MIL,PG,11,1,6.5,0.9,2.3,.400,0.5,1.1,.500,0.4,1.2,.308,.520,0.5,0.5,.833,0.3,0.7,1.0,0.8,0.6,0.4,0.6,0.9,2.8,,rolliry01
385,Josh Minott,22,MIN,SF,9,0,8.0,1.1,1.9,.588,0.1,0.9,.125,1.0,1.0,1.000,.618,0.3,0.6,.600,0.1,1.4,1.6,0.6,0.2,0.3,0.4,1.2,2.7,,minotjo01
386,TyTy Washington Jr.,23,PHO,PG,3,0,9.0,1.0,2.0,.500,0.7,1.0,.667,0.3,1.0,.333,.667,0.0,0.0,,0.0,0.3,0.3,1.3,0.7,0.0,0.3,0.0,2.7,,washity02
387,Delon Wright,32,MIL,PG,18,2,15.9,0.9,2.9,.321,0.5,1.8,.281,0.4,1.2,.381,.406,0.3,0.6,.500,0.6,1.2,1.8,1.6,0.7,0.3,0.4,0.6,2.7,,wrighde01
388,Johnny Davis,22,WAS,SG,14,0,7.4,1.1,2.3,.469,0.2,0.6,.375,0.9,1.7,.500,.516,0.2,0.4,.600,0.3,1.0,1.3,0.2,0.3,0.1,0.1,0.7,2.6,,davisjo06
389,Chris Duarte,27,CHI,SG,11,0,4.1,0.8,1.5,.529,0.5,1.0,.455,0.4,0.5,.667,.676,0.5,0.7,.750,0.4,0.9,1.3,0.4,0.0,0.0,0.1,0.3,2.6,,duartch01
