Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
140,Rui Hachimura,26,LAL,PF,17,17,537,13.5,.585,.373,.199,6.8,11.9,9.3,7.7,1.2,1.6,5.9,15.2,0.8,0.1,1.0,.088,0.0,-1.5,-1.5,0.1,,hachiru01
141,Tim Hardaway Jr.,32,DET,SG,21,21,577,8.8,.569,.669,.227,0.6,6.8,3.7,8.2,0.4,0.0,6.8,14.3,0.6,0.2,0.8,.062,-1.8,-1.6,-3.4,-0.2,,hardati02
142,Aaron Wiggins,26,OKC,SG,21,8,444,14.6,.562,.446,.086,5.7,13.0,9.4,10.5,2.0,1.4,9.5,19.2,0.4,0.8,1.2,.126,0.5,0.0,0.5,0.3,,wiggiaa01
143,Dalano Banton,25,POR,PG,20,0,337,16.7,.543,.406,.291,2.2,13.5,7.6,25.1,2.9,3.4,15.8,27.1,0.0,0.3,0.4,.051,1.9,0.6,2.5,0.4,,bantoda01
144,Jay Huff,26,MEM,C,22,1,330,19.8,.683,.636,.250,4.0,12.4,8.3,7.1,1.0,8.2,8.1,19.4,0.8,0.5,1.3,.196,3.4,1.4,4.8,0.6,,huffja01
145,Alex Sarr,19,WAS,C,19,19,509,11.7,.458,.432,.221,7.9,16.9,12.4,11.7,1.3,6.3,11.0,20.1,-0.5,0.3,-0.2,-0.018,-3.3,-0.8,-4.1,-0.3,,sarral01
146,Anthony Black,21,ORL,PG,24,1,580,10.4,.521,.358,.358,2.5,11.0,6.6,24.7,1.8,2.9,22.4,18.4,-0.3,1.0,0.7,.055,-3.3,1.0,-2.3,0.0,,blackan01
147,Nickeil Alexander-Walker,26,MIN,SG,21,2,510,13.4,.648,.567,.191,3.2,9.7,6.5,16.0,1.9,1.4,17.3,15.9,0.6,0.7,1.3,.125,-0.1,1.3,1.2,0.4,,alexani01
148,Jalen Wilson,24,BRK,PF,22,6,549,10.5,.591,.547,.267,4.9,12.7,8.7,9.7,0.7,0.2,10.7,15.3,0.6,0.2,0.8,.069,-1.6,-1.4,-3.0,-0.1,,wilsoja03
149,Kentavious Caldwell-Pope,31,ORL,SG,23,23,688,9.8,.554,.679,.176,1.5,7.1,4.2,8.4,2.6,1.9,8.7,12.3,0.4,1.2,1.6,.110,-3.2,2.2,-1.0,0.2,,caldwke01
150,Guerschon Yabusele,29,PHI,PF,20,7,491,14.7,.602,.540,.207,8.8,19.8,13.9,12.8,1.4,2.1,14.2,17.1,0.6,0.5,1.1,.105,0.1,-0.4,-0.3,0.2,,yabusgu01
151,Jordan Clarkson,32,UTA,SG,13,2,338,13.9,.502,.460,.264,3.3,13.0,8.2,24.6,1.6,0.3,11.8,27.4,0.1,0.0,0.1,.013,-0.6,-2.0,-2.5,0.0,,clarkjo01
152,Duncan Robinson,30,MIA,SF,19,8,421,10.8,.528,.706,.073,2.1,9.0,5.5,15.3,1.1,0.7,8.1,20.6,0.1,0.3,0.5,.052,-1.6,-1.5,-3.1,-0.1,,robindu01
153,Jalen Duren,21,DET,C,22,22,525,17.8,.676,.000,.584,14.4,27.9,21.3,15.0,0.7,5.2,23.7,15.2,0.9,0.7,1.6,.151,-1.0,1.3,0.3,0.3,,durenja01
154,Royce O'Neale,31,PHO,SF,20,2,505,14.0,.563,.648,.105,5.6,20.0,12.9,11.8,1.9,2.6,9.6,16.4,0.5,0.6,1.0,.099,0.4,0.7,1.1,0.4,,onealro01
155,Kyle Kuzma,29,WAS,PF,12,12,330,9.9,.487,.320,.177,2.6,19.2,10.8,11.8,0.7,0.8,12.9,28.3,-0.7,0.0,-0.7,-0.103,-3.6,-3.0,-6.6,-0.4,,kuzmaky01
156,Taurean Prince,30,MIL,SF,21,21,596,11.6,.690,.614,.098,2.8,13.9,8.6,9.1,1.5,0.6,14.8,11.9,0.8,0.5,1.3,.105,-0.8,-0.1,-0.9,0.2,,princta02
157,Jake LaRavia,23,MEM,PF,22,0,508,15.1,.606,.361,.391,7.1,13.9,10.6,20.3,1.5,2.9,16.1,14.7,1.0,0.7,1.7,.160,0.6,1.7,2.3,0.6,,laravja01
158,CJ McCollum,33,NOP,PG,9,9,293,16.5,.535,.458,.145,2.5,10.5,6.3,17.3,2.0,1.3,7.3,27.5,0.2,0.1,0.2,.039,1.0,-1.7,-0.7,0.1,,mccolcj01
159,Yves Missi,20,NOP,C,21,15,517,17.5,.589,.000,.448,14.8,19.6,17.1,8.5,1.4,4.7,14.4,15.3,0.7,0.3,1.1,.100,-1.4,-1.2,-2.5,-0.1,,missiyv01
160,Georges Niang,31,CLE,PF,22,1,448,10.5,.573,.663,.056,3.3,15.9,9.9,7.4,0.9,0.8,11.4,17.8,0.2,0.4,0.6,.066,-2.1,-1.1,-3.2,-0.1,,niangge01
161,Scoot Henderson,20,POR,PG,16,3,424,10.7,.504,.301,.265,2.7,9.4,5.9,31.4,1.7,0.5,20.9,22.8,-0.3,0.2,-0.1,-0.011,-2.7,-2.0,-4.7,-0.3,,hendesc01
162,Kevin Porter Jr.,24,LAC,SG,21,0,392,10.2,.459,.263,.188,4.0,17.2,10.5,23.5,2.3,1.8,19.6,27.5,-1.0,0.6,-0.3,-0.042,-4.5,0.1,-4.4,-0.2,,porteke02
163,Peyton Watson,22,DEN,SF,19,11,486,12.5,.591,.331,.288,4.6,10.0,7.3,6.9,1.4,3.5,9.3,15.1,0.6,0.3,0.9,.089,-1.2,-0.5,-1.7,0.0,,watsope01
164,Donte DiVincenzo,28,MIN,SG,21,2,536,9.8,.500,.785,.090,1.7,11.8,6.9,19.8,2.5,0.9,16.7,18.1,-0.3,0.8,0.5,.049,-2.5,1.3,-1.2,0.1,,divindo01
165,Caris LeVert,30,CLE,SG,16,0,385,17.6,.638,.461,.289,2.7,10.5,6.8,21.6,1.9,1.7,13.2,18.7,0.9,0.4,1.3,.167,2.2,0.7,2.8,0.5,,leverca01
166,Cody Martin,29,CHO,SF,21,3,533,13.8,.557,.497,.212,4.7,16.0,10.2,14.4,2.1,2.8,10.3,14.6,0.7,0.6,1.3,.115,-0.6,1.3,0.7,0.4,,martico01
167,Tre Mann,23,CHO,PG,13,0,319,14.0,.537,.373,.130,4.0,9.3,6.5,21.4,1.1,1.3,12.8,25.9,0.2,0.2,0.3,.052,-0.2,-2.0,-2.3,0.0,,manntr01
168,Miles McBride,24,NYK,PG,16,0,407,14.6,.612,.579,.129,3.0,9.1,6.2,13.4,1.9,1.0,9.8,17.7,0.7,0.3,1.0,.119,1.2,0.0,1.2,0.3,,mcbrimi01
