Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
126,Chris Ford,24,DET,SG,74,,20.8,2.8,5.9,.479,0.8,1.3,.645,3.6,2.6,1.8,6.4,ROY-3,fordch01
127,Stan Love,23,BAL,PF,72,,13.8,2.6,6.1,.436,1.1,1.4,.790,4.2,0.6,2.4,6.4,,lovest01
128,Jim Price,23,LAL,PG,59,,14.0,2.7,6.1,.440,1.0,1.2,.822,1.9,1.6,2.0,6.4,ROY-4,priceji01
129,Joe Ellis,28,GSW,PF,74,,14.2,2.7,6.6,.409,0.9,1.3,.742,3.8,1.2,1.9,6.3,,ellisjo01
130,Clyde Lee,28,GSW,PF,66,,22.4,2.6,5.5,.466,1.1,2.0,.565,9.1,0.5,2.8,6.3,,leecl01
131,Bud Stallworth,23,SEA,SF,77,,15.9,2.6,6.8,.379,1.1,1.5,.754,2.9,0.8,1.8,6.3,ROY-5,stallbu01
132,Terry Dischinger,32,POR,SF,63,,15.4,2.6,5.4,.476,1.0,1.5,.667,3.0,1.6,2.0,6.1,,dischte01
133,Howard Komives,31,BUF,PG,67,,21.9,2.4,6.4,.380,1.3,1.5,.867,1.8,3.6,2.3,6.1,,komivho01
134,Corky Calhoun,22,PHO,SF,82,,24.7,2.6,5.5,.469,0.9,1.2,.740,4.1,0.9,2.6,6.0,,calhoco01
135,Dave Stallworth,31,BAL,SF,73,,16.7,2.5,6.0,.414,1.1,1.4,.772,3.2,1.5,1.9,6.0,,stallda01
136,Ron Williams,28,GSW,PG,73,,13.9,2.5,5.6,.440,1.0,1.1,.904,1.1,1.6,1.5,6.0,,williro01
137,Larry Steele,23,POR,SG,66,,19.7,2.4,5.0,.483,1.1,1.3,.798,2.3,2.4,2.7,5.9,,steella01
138,Jim Cleamons,23,CLE,PG,80,,17.4,2.4,5.3,.454,0.9,1.3,.743,2.1,2.6,1.4,5.7,,cleamji01
139,Dean Meminger,24,NYK,SG,80,8,18.2,2.4,4.6,.515,1.0,1.6,.628,2.9,1.7,1.4,5.7,,meminde01
140,Cornell Warner,24,2TM,C,72,,19.0,2.4,5.8,.413,0.8,1.3,.656,7.3,1.0,2.5,5.7,,warneco01
140,Cornell Warner,24,BUF,C,4,,11.8,2.0,4.3,.471,0.3,0.5,.500,3.8,1.5,1.5,4.3,,warneco01
140,Cornell Warner,24,CLE,C,68,,19.5,2.4,5.9,.411,0.9,1.3,.659,7.5,1.0,2.5,5.7,,warneco01
141,Hal Greer,36,PHI,PG,38,17,22.3,2.4,6.1,.392,0.8,1.0,.821,2.8,2.9,2.0,5.6,,greerha01
142,Jim McDaniels,24,SEA,C,68,,16.1,2.3,5.7,.399,1.0,1.5,.700,5.1,1.1,2.1,5.6,,mcdanji01
143,Dave Sorenson,24,2TM,PF,58,0,13.0,2.1,5.1,.423,1.1,1.6,.711,3.6,0.6,1.8,5.4,,sorenda01
143,Dave Sorenson,24,CLE,PF,10,,12.9,1.1,4.5,.244,0.5,1.1,.455,3.7,0.5,1.6,2.7,,sorenda01
143,Dave Sorenson,24,PHI,PF,48,0,13.0,2.4,5.2,.456,1.2,1.6,.747,3.6,0.6,1.9,5.9,,sorenda01
144,Terry Driscoll,25,2TM,C,60,,16.1,2.3,5.5,.428,0.7,1.0,.694,5.0,0.9,2.4,5.4,,driscte01
144,Terry Driscoll,25,BAL,PF,1,,5.0,0.0,1.0,.000,0.0,0.0,,3.0,0.0,1.0,0.0,,driscte01
144,Terry Driscoll,25,MIL,C,59,,16.3,2.4,5.5,.429,0.7,1.1,.694,5.0,0.9,2.4,5.5,,driscte01
145,Charles Johnson,23,GSW,SG,70,,12.7,2.4,5.7,.428,0.5,0.7,.717,1.9,1.7,1.5,5.4,,johnsch01
146,Dale Schlueter,27,PHI,C,78,10,14.6,2.1,4.1,.524,1.1,1.6,.699,4.5,1.3,2.1,5.4,,schluda01
147,Mickey Davis,22,MIL,SF,74,,14.1,2.1,4.7,.438,1.0,1.2,.826,3.1,1.0,1.6,5.1,,davismi02
148,Howard Porter,24,CHI,PF,43,0,9.5,2.3,5.0,.452,0.5,0.7,.759,2.7,0.4,1.2,5.1,,porteho01
149,Mike Price,24,PHI,SG,57,5,13.2,2.2,5.3,.415,0.7,0.8,.809,2.1,1.2,1.9,5.1,,pricemi01
150,Wali Jones,30,MIL,SG,27,,15.5,2.2,5.4,.407,0.6,0.7,.889,1.1,2.1,1.4,5.0,,joneswa02
151,Walt Hazzard,30,2TM,PG,55,,13.9,1.9,4.7,.418,0.9,1.0,.825,1.6,2.3,2.0,4.7,,abdulma01
151,Walt Hazzard,30,BUF,PG,9,,14.9,2.8,6.7,.417,0.3,0.7,.500,1.1,1.9,2.1,5.9,,abdulma01
151,Walt Hazzard,30,GSW,PG,46,,13.7,1.8,4.3,.418,1.0,1.1,.863,1.7,2.4,2.0,4.5,,abdulma01
152,Bill Hewitt,28,BUF,PF,73,,18.2,2.1,5.0,.418,0.6,1.0,.554,5.0,1.5,2.1,4.7,,hewitbi01
153,Kenny McIntosh,24,2TM,SF,59,0,19.3,1.9,5.8,.337,0.7,1.1,.597,3.9,0.9,1.7,4.6,,mcintke01
153,Kenny McIntosh,24,CHI,SF,3,0,11.0,2.7,4.3,.615,0.0,0.7,.000,3.0,0.3,1.3,5.3,,mcintke01
153,Kenny McIntosh,24,SEA,SF,56,,19.7,1.9,5.9,.326,0.7,1.2,.615,4.0,0.9,1.8,4.5,,mcintke01
154,Mel Counts,31,2TM,C,66,0,10.0,2.0,4.5,.449,0.6,0.9,.672,3.8,1.0,1.6,4.6,,countme01
154,Mel Counts,31,PHI,C,7,0,6.7,0.7,2.3,.313,0.0,0.0,,2.3,0.4,1.1,1.4,,countme01
