Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
141,George Johnson,29,NJN,C,81,,29.8,3.5,8.9,.395,1.6,2.3,.719,3.0,6.6,9.6,1.4,1.0,3.4,2.7,4.2,8.7,,johnsge02
142,Tom Burleson,25,KCK,C,76,,20.1,3.0,6.9,.434,2.6,3.3,.794,2.2,4.1,6.3,1.7,0.8,1.1,1.6,3.4,8.6,,burleto01
143,Sam Lacey,29,KCK,C,77,,27.7,3.4,7.7,.449,1.7,2.4,.717,2.0,6.3,8.3,3.9,1.6,1.4,2.4,3.4,8.6,,laceysa01
144,John Gianelli,27,MIL,C,82,,28.4,3.7,7.7,.488,1.0,1.5,.642,2.0,4.2,6.2,2.3,0.7,1.1,1.8,2.3,8.5,,gianejo01
145,Ollie Johnson,28,ATL,SF,82,,20.8,3.6,7.5,.472,1.4,1.6,.854,1.1,2.1,3.2,1.5,1.0,0.4,1.3,2.2,8.5,,johnsol01
146,Jim McMillian,29,NYK,SF,81,63,24.4,3.6,7.7,.462,1.4,1.7,.858,1.0,2.6,3.6,2.5,0.9,0.2,1.3,1.4,8.5,,mcmilji01
147,Kevin Stacom,26,BOS,SG,55,,18.3,3.7,8.8,.426,1.0,1.3,.761,0.5,1.5,1.9,2.0,0.5,0.1,1.3,1.1,8.5,,stacoke01
148,Don Buse,27,PHO,PG,82,82,31.1,3.5,7.6,.458,1.4,1.7,.824,0.7,2.3,3.0,4.8,2.3,0.2,1.5,1.8,8.4,,busedo01
149,Mark Olberding,21,SAS,PF,79,,22.4,2.9,6.1,.481,2.3,2.9,.811,1.3,3.4,4.7,1.7,0.6,0.3,1.5,3.0,8.2,,olberma01
150,Mike Green,26,2TM,C,72,,19.2,3.3,7.1,.463,1.5,2.0,.754,1.8,3.2,5.0,1.1,0.4,1.4,1.5,2.7,8.1,,greenmi01
150,Mike Green,26,SEA,C,9,,27.8,4.8,9.7,.494,2.3,3.4,.677,2.4,3.7,6.1,1.1,0.7,1.4,2.4,2.9,11.9,,greenmi01
150,Mike Green,26,SAS,C,63,,18.0,3.1,6.8,.457,1.4,1.8,.775,1.7,3.1,4.8,1.0,0.4,1.4,1.3,2.7,7.6,,greenmi01
151,Ralph Simpson,28,2TM,SG,64,,20.7,3.4,9.0,.375,1.3,1.6,.817,0.8,1.6,2.5,2.5,1.2,0.1,2.0,1.4,8.1,,simpsra01
151,Ralph Simpson,28,DET,SG,32,,23.1,4.5,10.8,.413,1.7,2.0,.844,0.8,1.7,2.6,2.7,1.0,0.1,2.4,1.5,10.6,,simpsra01
151,Ralph Simpson,28,DEN,SG,32,,18.3,2.3,7.2,.317,1.0,1.3,.775,0.8,1.5,2.3,2.3,1.3,0.1,1.5,1.3,5.5,,simpsra01
152,Allan Bristow,26,SAS,SF,82,,18.1,3.1,6.6,.478,1.9,2.5,.731,1.2,1.9,3.1,2.4,0.8,0.0,1.8,1.8,8.1,,bristal01
153,Larry Steele,28,POR,SG,65,,17.4,3.2,6.9,.470,1.5,1.9,.820,0.5,1.2,1.7,1.3,0.9,0.1,1.0,2.1,8.0,,steella01
154,Al Skinner,25,2TM,SG,77,,20.1,2.9,6.3,.455,2.1,2.6,.798,0.9,2.0,2.9,1.9,0.8,0.3,2.1,3.1,7.9,,skinnal01
154,Al Skinner,25,NJN,SG,8,,34.6,5.1,12.6,.406,4.9,5.5,.886,1.8,4.8,6.5,4.1,1.6,0.6,3.6,4.3,15.1,,skinnal01
154,Al Skinner,25,DET,SG,69,,18.5,2.6,5.6,.468,1.8,2.3,.774,0.8,1.7,2.5,1.6,0.8,0.2,1.9,3.0,7.0,,skinnal01
155,Mike Glenn,22,BUF,SG,56,,16.9,3.5,6.6,.527,0.9,1.2,.785,0.3,1.2,1.4,1.4,0.6,0.1,0.9,1.8,7.9,,glennmi01
156,Gar Heard,29,PHO,PF,80,,26.2,3.3,7.8,.424,1.1,1.8,.612,2.1,6.1,8.2,1.7,1.6,1.3,1.5,2.7,7.8,,heardga01
157,Bruce Seals,24,SEA,SF,73,,18.1,3.2,7.5,.417,1.5,2.4,.634,0.8,2.2,3.1,1.1,0.6,0.5,1.4,2.9,7.8,,sealsbr01
158,Eddie Jordan,23,2TM,PG,73,,16.6,2.9,7.4,.400,1.8,2.3,.784,0.5,1.2,1.6,2.4,1.7,0.3,1.5,1.3,7.7,,jordaed01
158,Eddie Jordan,23,CLE,PG,22,,7.8,0.9,2.5,.339,0.5,0.7,.750,0.1,0.4,0.5,1.5,0.5,0.0,0.6,0.5,2.3,,jordaed01
158,Eddie Jordan,23,NJN,PG,51,,20.4,3.8,9.5,.407,2.3,3.0,.788,0.6,1.5,2.1,2.8,2.2,0.4,1.8,1.6,10.0,,jordaed01
159,Kent Benson,23,MIL,C,69,,18.7,3.2,6.9,.465,1.3,2.0,.652,1.3,3.0,4.3,1.4,1.0,0.8,1.7,2.6,7.7,,bensoke01
160,Don Ford,25,LAL,PF,79,,24.6,3.4,7.3,.472,0.9,1.1,.756,1.3,3.1,4.5,1.8,0.9,0.6,1.1,2.7,7.7,,forddo01
161,Tree Rollins,22,ATL,C,80,,22.4,3.2,6.5,.487,1.3,1.9,.703,2.2,4.7,6.9,1.0,0.7,2.7,1.5,4.1,7.6,,rollitr01
162,Wes Unseld,31,WSB,C,80,,33.1,3.2,6.1,.523,1.2,2.2,.538,3.6,8.4,11.9,4.1,1.2,0.6,2.2,2.9,7.6,,unselwe01
163,Slick Watts,26,2TM,PG,71,,22.3,3.1,7.9,.392,1.3,2.2,.590,0.8,1.7,2.5,4.1,1.5,0.4,2.4,2.6,7.5,,wattssl01
163,Slick Watts,26,SEA,PG,32,,25.3,3.4,8.5,.404,0.9,1.7,.566,0.7,1.9,2.5,4.2,1.7,0.4,2.9,2.8,7.8,,wattssl01
163,Slick Watts,26,NOJ,PG,39,,19.9,2.8,7.3,.381,1.6,2.6,.602,1.0,1.5,2.5,4.1,1.4,0.4,1.9,2.5,7.2,,wattssl01
164,Coby Dietrick,29,SAS,PF,79,,23.7,3.2,6.9,.460,1.1,1.4,.781,0.9,3.6,4.5,2.7,1.0,0.7,1.8,2.9,7.5,,dietrco01
165,Charles Johnson,28,2TM,SG,71,,18.3,3.3,8.2,.408,0.7,0.9,.803,0.6,1.6,2.2,1.8,0.9,0.1,1.0,1.8,7.4,,johnsch01
165,Charles Johnson,28,GSW,SG,32,,15.4,3.0,7.3,.409,0.2,0.3,.700,0.7,1.2,1.9,1.5,1.0,0.1,0.7,1.7,6.2,,johnsch01
165,Charles Johnson,28,WSB,SG,39,,20.7,3.6,8.9,.408,1.1,1.3,.824,0.5,1.9,2.4,2.1,0.8,0.0,1.3,1.9,8.3,,johnsch01
166,Gus Gerard,24,2TM,SF,57,,15.6,3.0,6.9,.430,1.3,1.9,.694,1.0,1.8,2.8,0.9,0.6,0.4,1.1,1.9,7.3,,gerargu01
166,Gus Gerard,24,BUF,SF,10,,8.5,1.6,4.0,.400,1.1,1.5,.733,0.6,0.8,1.4,0.9,0.2,0.3,0.7,1.3,4.3,,gerargu01
166,Gus Gerard,24,DET,SF,47,,17.1,3.3,7.6,.434,1.4,2.0,.688,1.0,2.1,3.1,0.9,0.7,0.5,1.1,2.0,7.9,,gerargu01
167,John Brown,26,ATL,SF,75,,21.3,2.6,5.4,.474,2.2,2.7,.825,1.8,2.2,4.0,1.4,0.7,0.1,1.5,3.7,7.3,,brownjo01
168,Cedric Maxwell,22,BOS,SF,72,,16.8,2.4,4.4,.538,2.6,3.5,.752,1.9,3.3,5.3,0.9,0.7,0.7,1.7,2.1,7.3,,maxwece01
169,Robert Reid,22,HOU,SF,80,,23.1,3.3,7.2,.455,0.8,1.2,.656,1.4,3.1,4.5,1.5,0.8,0.6,1.0,3.5,7.3,,reidro01
170,Norm Van Lier,30,CHI,PG,78,75,32.4,2.6,6.1,.419,2.2,2.9,.751,1.1,2.5,3.6,6.8,1.8,0.1,2.6,3.6,7.3,,vanlino01
171,Chuck Williams,31,BUF,PG,73,,27.4,2.8,6.0,.477,1.6,1.9,.826,0.4,1.5,1.9,4.3,0.7,0.1,2.1,1.9,7.3,,willich02
172,Tom Boswell,24,BOS,PF,65,,17.7,2.8,5.5,.518,1.4,1.9,.756,1.8,2.6,4.4,1.1,0.4,0.2,1.5,3.1,7.1,,bosweto01
173,Alonzo Bradley,24,HOU,SF,43,,18.6,3.0,7.1,.428,1.0,1.4,.729,0.6,1.7,2.3,1.3,0.4,0.1,1.3,1.9,7.0,,bradlal01
174,Louie Nelson,26,2TM,SG,33,,12.3,2.6,6.4,.403,1.7,2.5,.679,0.4,1.2,1.6,1.0,0.7,0.2,1.5,1.0,6.9,,nelsolo01
174,Louie Nelson,26,KCK,SG,8,,6.6,0.4,1.8,.214,1.1,1.4,.818,0.1,0.3,0.4,0.6,0.3,0.1,1.0,0.6,1.9,,nelsolo01
174,Louie Nelson,26,NJN,SG,25,,14.1,3.3,7.9,.416,1.9,2.9,.658,0.5,1.5,2.0,1.2,0.8,0.2,1.6,1.1,8.5,,nelsolo01
175,Ernie Grunfeld,22,MIL,SG,73,,17.3,2.8,6.3,.443,1.3,2.0,.657,1.0,1.7,2.7,2.0,0.7,0.3,1.3,2.1,6.9,,grunfer01
176,Tom Abernethy,23,LAL,SF,73,,18.0,2.8,5.5,.498,1.2,1.5,.820,1.4,2.2,3.6,1.4,0.8,0.3,0.7,1.7,6.8,,abernto01
177,Wil Jones,30,BUF,PF,79,,21.7,2.9,6.5,.440,1.1,1.5,.706,1.3,2.9,4.2,1.5,0.9,0.5,1.7,3.2,6.8,,joneswi02
178,Bill Willoughby,20,BUF,SF,56,,19.3,2.8,6.5,.430,1.1,1.4,.800,1.4,2.6,3.9,0.7,0.4,0.8,1.0,2.3,6.7,,willobi01
179,Jim Bostic,25,DET,PF,4,,12.0,3.0,5.5,.545,0.5,1.3,.400,2.0,2.0,4.0,0.8,0.0,0.0,0.8,1.3,6.5,,bostiji01
180,Jim Cleamons,28,NYK,PG,79,44,25.4,2.7,5.7,.480,1.0,1.3,.786,0.9,1.8,2.7,3.6,0.9,0.2,1.4,1.8,6.5,,cleamji01
181,E.C. Coleman,27,GSW,PF,72,,25.0,2.9,6.2,.475,0.6,0.8,.727,1.6,3.6,5.2,1.4,0.9,0.3,1.3,3.5,6.4,,colemec01
182,Wally Walker,23,2TM,SF,77,,14.3,2.6,6.0,.443,1.0,1.6,.625,1.1,1.7,2.8,1.0,0.3,0.1,1.0,1.8,6.3,,walkewa01
182,Wally Walker,23,POR,SF,9,,11.2,2.1,4.6,.463,0.6,0.9,.625,0.8,1.1,1.9,0.9,0.2,0.0,1.2,1.4,4.8,,walkewa01
182,Wally Walker,23,SEA,SF,68,,14.8,2.7,6.2,.440,1.0,1.6,.625,1.2,1.8,3.0,1.0,0.4,0.1,1.0,1.8,6.5,,walkewa01
183,Toby Knight,22,NYK,SF,80,3,14.6,2.8,5.8,.477,0.8,1.2,.649,1.5,2.5,4.0,0.5,0.6,0.4,1.2,2.6,6.3,,knighto01
184,Kenny Carr,22,LAL,PF,52,,14.1,2.6,5.8,.444,1.1,1.6,.647,1.0,3.0,4.0,0.5,0.3,0.3,1.7,2.4,6.2,,carrke01
185,Joe Bryant,23,PHI,PF,81,0,15.3,2.3,5.4,.436,1.4,1.8,.771,1.3,2.2,3.5,1.6,0.7,0.3,1.4,2.3,6.1,,bryanjo01
186,Mack Calvin,30,DEN,PG,77,,12.8,1.9,4.3,.441,2.2,2.7,.840,0.1,0.9,1.1,1.9,0.6,0.1,1.4,1.1,6.1,,calvima01
187,Curtis Rowe,28,BOS,PF,51,,17.9,2.4,5.4,.451,1.3,1.7,.742,1.5,2.5,4.0,0.9,0.3,0.2,1.5,1.8,6.1,,rowecu01
188,Alvin Scott,22,PHO,SF,81,,19.0,2.2,4.6,.488,1.6,2.4,.691,1.7,2.7,4.4,1.1,0.6,0.5,1.0,2.0,6.1,,scottal01
189,Wilson Washington,22,2TM,PF,38,0,14.8,2.6,5.4,.485,0.8,1.4,.547,1.3,2.8,4.1,0.3,0.5,1.0,1.7,2.0,6.0,,washiwi01
189,Wilson Washington,22,PHI,PF,14,0,2.7,0.6,1.4,.421,0.2,0.4,.500,0.1,0.9,1.0,0.1,0.1,0.1,0.7,0.2,1.4,,washiwi01
189,Wilson Washington,22,NJN,PF,24,,21.8,3.8,7.8,.492,1.1,2.0,.553,2.0,3.9,5.9,0.4,0.7,1.5,2.2,3.0,8.8,,washiwi01
190,Curtis Perry,29,PHO,PF,45,,18.2,2.4,5.4,.453,1.1,1.4,.785,1.9,3.6,5.6,1.1,0.8,0.5,1.4,2.7,6.0,,perrycu01
191,Tony Robertson,22,ATL,SG,63,,14.7,2.7,6.0,.441,0.6,0.8,.698,0.2,0.9,1.1,1.6,1.2,0.1,1.4,2.1,5.9,,roberto01
192,Dave Robisch,28,2TM,C,78,,16.4,2.3,5.5,.412,1.3,1.7,.775,1.3,3.2,4.5,1.1,0.5,0.4,0.9,1.7,5.8,,robisda01
192,Dave Robisch,28,IND,C,23,,26.0,3.2,7.9,.403,2.2,2.8,.781,2.0,5.5,7.5,2.1,0.9,0.7,1.5,2.6,8.5,,robisda01
192,Dave Robisch,28,LAL,C,55,,12.3,1.9,4.5,.418,0.9,1.2,.769,1.0,2.3,3.3,0.7,0.3,0.3,0.7,1.3,4.7,,robisda01
193,Paul Silas,34,SEA,PF,82,,26.5,2.2,5.7,.397,1.3,2.3,.586,3.5,4.6,8.1,1.8,0.8,0.2,1.9,2.2,5.8,,silaspa01
194,Willie Norwood,30,2TM,SF,35,,17.5,2.1,5.2,.409,1.4,2.1,.667,1.4,2.0,3.4,0.9,0.9,0.1,1.6,2.9,5.7,,norwowi01
