Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
33,Andy Johnson,29,CHP,SF,71,30.9,5.1,11.5,.448,4.0,6.4,.628,4.9,3.2,3.5,14.3,,johnsan01
34,Al Butler,23,2TM,PG,59,34.2,5.9,12.8,.463,2.2,3.1,.709,5.7,3.5,2.6,14.0,,butleal01
34,Al Butler,23,BOS,PG,5,9.4,2.6,5.8,.448,1.0,1.2,.833,2.6,0.8,1.8,6.2,,butleal01
34,Al Butler,23,NYK,PG,54,36.5,6.2,13.4,.463,2.3,3.3,.705,6.0,3.7,2.7,14.7,,butleal01
35,Bob Ferry,24,DET,C,80,24.0,5.1,11.7,.438,3.6,5.3,.678,6.3,1.8,2.5,13.9,,ferrybo01
36,Larry Costello,30,SYR,PG,63,29.4,4.9,11.5,.427,3.9,4.7,.837,3.9,5.7,3.5,13.8,AS,costela01
37,Bob Boozer,24,CIN,PF,79,31.5,5.2,11.8,.438,3.3,4.7,.707,10.2,1.6,3.5,13.7,,boozebo01
38,Tom Gola,29,PHW,SG,60,41.0,5.4,12.8,.421,2.9,3.8,.765,9.8,4.9,4.5,13.7,AS,golato01
39,Ray Scott,23,DET,PF,75,27.8,4.9,12.7,.387,3.4,5.2,.657,11.5,1.8,3.1,13.3,,scottra01
40,Si Green,28,2TM,,71,33.6,4.8,12.7,.377,3.1,4.4,.701,5.6,4.5,3.2,12.7,,greensi01
40,Si Green,28,STL,,14,19.4,2.9,7.4,.388,2.3,2.9,.800,3.5,2.6,2.6,8.0,,greensi01
40,Si Green,28,CHP,SG,57,37.1,5.3,14.1,.375,3.3,4.8,.686,6.1,4.9,3.3,13.8,,greensi01
41,Tom Meschery,23,PHW,PF,80,31.4,4.7,11.6,.404,2.7,3.3,.824,9.1,1.8,4.1,12.1,,meschto01
42,Phil Jordon,28,NYK,C,76,28.9,5.3,13.5,.392,1.3,2.2,.571,6.3,2.1,3.4,11.9,,jordoph01
43,Al Attles,25,PHW,PG,75,32.9,4.6,9.7,.474,2.1,3.6,.592,4.7,4.4,3.7,11.3,,attleal01
44,Tom Sanders,23,BOS,SF,80,29.1,4.4,10.1,.435,2.5,3.3,.749,9.5,0.9,3.5,11.2,,sandeto01
45,Barney Cable,26,2TM,SF,67,27.8,4.6,11.2,.407,1.8,2.7,.652,8.4,1.7,3.1,10.9,,cableba01
45,Barney Cable,26,CHP,SF,15,33.2,5.5,14.5,.378,2.8,3.9,.712,5.5,2.1,3.7,13.7,,cableba01
45,Barney Cable,26,STL,SF,52,26.2,4.3,10.2,.419,1.5,2.3,.623,9.2,1.6,3.0,10.0,,cableba01
46,Woody Sauldsberry,27,2TM,PF,63,28.0,4.7,13.8,.343,1.3,2.0,.642,8.5,1.4,2.8,10.7,,sauldwo01
46,Woody Sauldsberry,27,STL,PF,14,20.8,2.9,8.7,.336,1.4,2.1,.655,5.1,0.9,1.6,7.2,,sauldwo01
46,Woody Sauldsberry,27,CHP,PF,49,30.1,5.2,15.2,.344,1.2,1.9,.638,9.5,1.6,3.2,11.7,,sauldwo01
47,Ralph Davis,23,CHP,SG,77,25.9,4.7,11.4,.413,0.9,1.3,.689,2.1,3.2,2.4,10.4,,davisra01
48,Shellie McMillon,25,2TM,SF,62,19.8,4.3,9.5,.448,1.7,2.9,.593,5.9,1.0,3.3,10.3,,mcmilsh01
48,Shellie McMillon,25,DET,SF,14,13.6,1.9,5.9,.313,1.4,2.6,.556,4.6,0.4,2.6,5.1,,mcmilsh01
48,Shellie McMillon,25,STL,SF,48,21.6,5.0,10.6,.470,1.8,3.0,.603,6.3,1.1,3.4,11.8,,mcmilsh01
49,Al Bianchi,29,SYR,PG,80,24.1,4.2,10.6,.397,1.9,2.8,.697,3.5,3.3,2.9,10.3,,biancal01
50,Jim Krebs,26,LAL,C,78,25.8,4.0,9.0,.445,2.0,2.7,.750,7.9,1.4,3.7,10.0,,krebsji01
51,Larry Foust,33,STL,C,57,20.2,3.6,7.6,.471,2.5,3.1,.815,5.8,1.4,3.3,9.7,,foustla01
52,Walter Dukes,31,DET,C,77,24.6,3.3,8.4,.396,2.7,3.8,.715,10.4,1.6,4.2,9.4,,dukeswa01
53,K.C. Jones,29,BOS,PG,80,25.7,3.7,9.1,.406,1.8,2.9,.634,3.7,4.3,2.6,9.2,,joneskc01
54,Tom Hawkins,25,LAL,SF,79,24.1,3.7,8.9,.411,1.8,2.8,.644,6.5,1.2,3.1,9.1,,hawkito01
55,Guy Rodgers,26,PHW,PG,80,33.1,3.3,9.4,.356,1.5,2.3,.665,4.4,8.0,3.9,8.2,,rodgegu01
56,Vern Hatton,26,2TM,SG,40,22.5,2.8,8.3,.338,2.5,3.1,.784,2.6,2.5,1.6,8.1,,hattove01
56,Vern Hatton,26,CHP,SG,15,26.4,3.0,9.7,.308,3.5,4.6,.754,3.0,2.9,1.5,9.5,,hattove01
56,Vern Hatton,26,STL,SG,25,20.1,2.7,7.4,.362,1.8,2.2,.821,2.3,2.2,1.6,7.2,,hattove01
57,Bob Sims,23,2TM,SG,65,20.7,3.0,7.6,.393,1.9,3.3,.569,2.8,2.4,2.9,7.8,,simsbo01
57,Bob Sims,23,LAL,SG,19,9.0,1.2,3.1,.373,1.0,2.1,.487,1.4,0.6,2.1,3.3,,simsbo01
57,Bob Sims,23,STL,SG,46,25.5,3.7,9.4,.396,2.3,3.8,.588,3.4,3.1,3.2,9.7,,simsbo01
58,Fred LaCour,23,STL,PG,73,20.6,3.2,7.3,.429,1.5,1.8,.815,3.7,2.3,2.3,7.8,,lacoufr01
59,Joe Roberts,25,SYR,PF,80,20.5,3.0,7.7,.393,1.6,2.4,.665,6.7,0.6,2.9,7.7,,roberjo01
60,George Lee,25,DET,SF,75,18.0,2.4,6.7,.358,2.8,3.7,.761,4.7,0.9,1.7,7.6,,leege01
61,Al Ferrari,28,STL,SG,79,25.9,2.6,7.4,.357,2.2,2.8,.799,2.7,4.0,3.5,7.5,,ferraal01
62,Jackie Moreland,23,DET,PF,74,16.5,2.8,6.6,.421,1.9,2.5,.747,5.8,1.0,2.4,7.4,,morelja01
63,Adrian Smith,25,CIN,SG,80,18.3,2.5,6.2,.405,2.2,2.8,.775,1.9,2.1,1.3,7.2,,smithad01
64,Stacey Arceneaux,25,STL,,7,15.7,3.1,8.0,.393,0.9,1.9,.462,4.6,0.6,1.4,7.1,,arcenst01
65,Charlie Tyra,26,CHP,PF,78,20.6,2.5,6.8,.361,1.7,2.7,.621,7.8,1.1,2.7,6.7,,tyrach01
66,Horace Walker,24,CHP,SF,65,20.5,2.3,6.8,.339,2.2,3.0,.725,7.2,1.1,3.0,6.7,,walkeho01
67,Archie Dees,25,2TM,C,21,13.7,2.4,5.5,.443,1.7,2.2,.761,3.7,0.8,1.6,6.5,,deesar01
67,Archie Dees,25,CHP,PF,13,16.7,2.9,6.7,.437,2.1,2.7,.771,4.5,0.9,1.7,7.9,,deesar01
67,Archie Dees,25,STL,C,8,8.9,1.6,3.5,.464,1.0,1.4,.727,2.4,0.5,1.4,4.3,,deesar01
